No,transaction date,house age,distance to the nearest metro station,price per square foot
181,2012.667,26.9,31144.89,310
182,2013.167,11.6,1413.2573,1118
183,2013.5,13.5,15031.632,472
184,2013.5,17,28574.105,376
185,2012.75,14.1,18308.255,436
186,2012.75,31.4,10131.002,430
187,2013.167,20.9,15295.896,514
188,2013,8.9,21547.232,440
189,2012.917,34.8,1330.2744,886
190,2012.917,16.3,28466.109,410
191,2013.5,35.3,4316.0145,846
192,2013.167,13.2,5250.4928,756
193,2013.167,43.8,403.12615,854
194,2013.417,9.7,2950.353,986
195,2013.5,15.2,26403.265,586
196,2013.333,15.2,3227.7112,692
197,2013,22.8,4955.3469,732
198,2013.25,34.4,887.1002,964
199,2013.083,34,1103.2364,782
200,2013.417,18.2,3161.4933,632
201,2013.417,17.4,6970.2878,510
202,2013.417,13.1,3933.8915,918
203,2012.917,38.3,4498.8895,630
204,2012.667,15.6,2025.2736,922
205,2013,18,9903.859,532
206,2013.083,12.8,10148.054,428
207,2013.25,22.2,2656.9025,880
208,2013.083,38.5,4655.4452,684
209,2012.75,11.5,9520.973,524
210,2012.833,34.8,1229.4058,818
211,2013.5,5.2,2733.9788,1044
212,2013.083,0,1918.1008,870
213,2013.333,17.6,12639.655,622
214,2013.083,6.2,633.19242,1160
215,2013.583,18.1,12482.26,418
216,2013.333,19.2,2685.9903,962
217,2013.25,37.8,4136.5044,794
218,2012.917,28,2608.3694,816
219,2013.417,13.6,3445.6191,876
220,2012.75,29.3,3708.4397,804
221,2013.333,37.2,1305.5707,1566
222,2013.333,9,9814.112,770
223,2013.583,30.6,3017.7798,970
224,2013.25,9.1,9814.112,846
225,2013.333,34.5,2274.5933,920
226,2013.25,1.1,1355.0915,980
227,2013,16.5,28574.105,256
228,2012.917,32.4,1855.4263,804
229,2013.417,11.9,22199.303,932
230,2013.583,31,8094.884,380
231,2013.5,4,15031.632,668
232,2012.833,16.2,28523.152,294
233,2012.917,27.1,30889.355,348
234,2013.333,39.7,2333.5753,648
235,2013.25,8,15516.284,478
236,2012.75,12.9,1754.417,786
237,2013.167,3.6,2616.8723,1238
238,2013.167,13,5129.9696,780
239,2013.083,12.8,5129.9696,812
240,2013.5,18.1,5864.0631,594
241,2013.083,11,11988.424,576
242,2013.5,13.7,1754.417,828
243,2012.833,2,14541.73,668
244,2013.417,32.8,1429.1935,964
245,2013.083,4.8,10918.789,434
246,2013.417,7.5,4477.3386,816
247,2013.417,16.4,2728.7533,812
248,2013.333,21.7,7385.469,462
249,2013,19,7064.645,446
250,2012.833,18,44143.071,300
251,2013.167,39.2,2972.9924,600
252,2012.917,31.7,8116.178,276
253,2012.833,5.9,633.19242,1054
254,2012.667,30.4,12149.165,518
255,2012.667,1.1,2309.8229,1036
256,2013.417,31.5,38584.266,348
257,2012.667,14.6,2374.6023,530
258,2013.25,17.3,3108.9338,878
259,2013.417,0,2050.9846,1266
260,2013.083,17.7,5864.0631,576
261,2013.25,17,10395.679,614
262,2013.167,16.2,16016.077,488
263,2012.917,15.9,2025.2736,1060
264,2013.417,3.9,15031.632,634
265,2013.167,32.6,3455.599,812
266,2012.833,15.7,5711.5198,762
267,2013.25,17.8,12482.26,474
268,2012.833,34.7,3379.3067,822
269,2013.417,17.2,2733.9788,802
270,2013,17.6,5864.0631,460
271,2013.333,10.8,1768.0754,2350
272,2012.917,17.7,3161.4933,530
273,2012.75,13,3445.6191,810
274,2013.417,13.2,1190.9023,586
275,2013.167,27.5,2758.1211,820
276,2012.667,1.5,163.67988,994
277,2013,19.1,3227.7112,680
278,2013.417,21.2,15295.896,554
279,2012.75,0,1458.7335,880
280,2013.417,2.6,10879.75,622
281,2013.25,2.3,1290.3114,908
282,2013.333,4.7,2714.4047,896
283,2012.917,2,10190.586,512
284,2013.417,33.5,13850.697,470
285,2012.917,15,2682.9635,688
286,2013.167,30.1,5028.0559,1106
287,2012.917,5.9,633.19242,1126
288,2013,19.2,3227.7112,658
289,2013.583,16.6,2265.8384,1020
290,2013.333,13.9,2025.2736,890
291,2013.083,37.7,3432.4122,740
292,2012.833,3.4,395.31975,1088
293,2013.083,17.5,2769.7229,490
294,2012.667,12.6,2682.9635,850
295,2013.5,26.4,2348.6911,762
296,2013.167,18.2,15257.13,436
297,2012.75,12.5,8011.052,682
298,2012.833,34.9,3969.2443,570
299,2013.333,16.7,28574.105,334
300,2013.167,33.2,852.0834,922
301,2013.083,2.5,1093.7094,738
302,2012.75,38,3232.4936,714
303,2013.5,16.5,16016.077,464
304,2013.5,38.3,3077.9735,768
305,2013.417,20,11382.581,588
306,2013.083,16.2,2025.2736,1100
307,2013.5,14.4,1189.8621,1004
308,2012.833,10.3,21559.23,494
309,2013.417,16.4,2025.2736,1060
310,2013.25,30.3,8853.11,382
311,2013.583,16.4,11504.493,494
312,2013.167,21.3,3764.5797,844
313,2013.583,35.4,2229.7044,1560
314,2013.333,8.3,733.6707,856
315,2013.25,3.7,4045.7305,832
316,2013.083,15.6,12294.877,546
317,2013.25,13.3,1754.417,840
318,2012.75,15.6,5269.3683,750
319,2013.333,7.1,2656.9025,996
320,2013.25,34.6,1908.7481,538
321,2012.75,13.5,29381.443,372
322,2012.917,16.9,6753.2472,754
323,2013,12.9,1312.3761,662
324,2013.417,28.6,1379.9366,850
325,2012.667,12.4,11988.424,626
326,2013.083,36.6,3421.7351,762
327,2013.5,4.1,395.31975,1242
328,2013.417,3.5,5301.3639,734
329,2012.833,15.9,10483.991,472
330,2013,13.6,29381.443,384
331,2013.083,32,8097.439,256
332,2013.333,25.6,31637.83,312
333,2013.167,39.8,4323.9938,792
334,2012.75,7.8,733.6707,768
335,2012.917,30,7093.387,456
336,2013.583,27.3,2363.2112,730
337,2012.833,5.1,13070.631,712
338,2012.833,31.3,4206.0228,618
339,2012.917,31.5,1807.302,726
340,2013.333,1.7,2309.8229,1008
341,2013.333,33.6,1896.2265,858
342,2013,13,5250.4928,740
343,2012.667,5.7,633.19242,1070
344,2013,33.5,3942.9978,932
345,2013.5,34.6,21596.19,824
346,2012.667,0,1298.0072,758
347,2013.417,13.2,11988.424,616
348,2013.583,17.4,45416.147,224
349,2012.833,4.6,1817.6249,1074
350,2012.75,7.8,733.6707,940
351,2013,13.2,3445.6191,846
352,2012.833,4,15261.715,572
353,2012.833,18.4,18724.727,514
354,2013.5,4.1,15031.632,626
355,2013.417,12.2,9520.973,602
356,2013.25,3.8,2687.0368,1214
357,2012.833,10.3,1480.1311,906
358,2013.417,0,2372.7753,898
359,2013.167,1.1,1355.0915,902
360,2013.5,5.6,16862.951,494
361,2012.667,32.9,611.11554,942
362,2013.083,41.4,1968.435,1266
363,2013.417,17.1,6771.8,800
364,2013.5,32.3,769.6185,960
365,2013.417,35.3,4298.9758,662
366,2012.917,17.3,15830.024,590
367,2012.75,14.2,12610.808,496
368,2012.833,15,12798.233,418
369,2013.417,18.2,2455.9605,862
370,2012.667,20.2,15295.896,456
371,2012.75,15.9,2025.2736,842
372,2013.5,4.1,2190.2741,1034
373,2013,33.9,1103.2364,830
374,2013.083,0,1918.1008,1044
375,2013.25,5.4,2733.9788,990
376,2013.25,21.7,8105.916,476
377,2013.417,14.7,12020.351,610
378,2013.333,3.9,347.62735,1136
379,2013.333,37.3,4115.2139,748
380,2013.333,0,2050.9846,1394
381,2013.333,14.1,2025.2736,1066
382,2013.417,8,927.8283,946
383,2013,16.3,24706.948,586
384,2012.667,29.1,3542.8008,806
385,2012.75,16.1,28466.109,258
386,2013,18.3,580.20501,932
387,2012.833,0,1298.0072,1106
388,2013.25,16.2,14724.885,512
389,2013.5,10.4,15763.566,546
390,2013.25,40.9,856.5333,1354
391,2013.5,32.8,2644.8114,772
392,2013.583,6.2,13578.243,626
393,2013.083,42.7,3106.614,706
394,2013,16.9,6771.8,806
395,2013.5,32.6,28953.897,494
396,2012.917,21.2,3587.8409,850
397,2012.667,37.1,6430.4499,638
398,2013.417,13.1,8153.866,644
399,2013.417,14.7,12020.351,460
400,2012.917,12.7,1190.9023,746
401,2013.25,26.8,3379.3067,710
402,2013.083,7.6,15225.21,554
403,2012.833,12.7,1312.3761,570
404,2012.667,30.9,1133.594,794
405,2013.333,16.4,2025.2736,824
406,2012.667,23,916.9615,744
407,2013.167,1.9,2604.9702,810
408,2013,5.2,16862.951,446
409,2013.417,18.5,15230.208,562
410,2013,13.7,28574.105,308
411,2012.667,5.6,633.19242,1000
412,2013.25,18.8,2736.7872,812
413,2013,8.1,733.6707,1050
414,2013.5,6.5,633.19242,1278
